contest_key,place,score,team_name
1.0,1.0,177.7144,BIG JT'S SMOKIN BBQ
1.0,2.0,177.7028,GILLY'S BBQ
1.0,3.0,176.0116,Here for the Beer
1.0,4.0,174.8456,MAKING MEAT BBQ
1.0,5.0,174.2744,ONE2BBQ
1.0,6.0,172.0,BARK SHARK BBQ
1.0,7.0,172.0,THIN BLUE BBQ
1.0,8.0,171.9656,SMITTY'S REAL PIT BBQ
1.0,9.0,171.44,ROB-A-QUE
1.0,10.0,170.88,FLYING PIG &AMP; SONS BBQ
1.0,11.0,170.32,HOOSIER MARKET BARBEQUE
1.0,12.0,169.7144,THUNDER HOG BBQ
1.0,13.0,169.12,MONTY PIGTHON & THE HOLY GRILL
1.0,14.0,167.4288,HOGAHOLICS
1.0,15.0,167.3828,LOTTA BULL BBQ
1.0,16.0,166.8112,Tiki Q
1.0,17.0,166.2856,WEQ4U
1.0,18.0,166.24,BACK PORCH Q
1.0,19.0,165.7028,SWEET BLAQ ASH
1.0,20.0,165.68,HOOSIER FAVORITE BBQ
1.0,21.0,165.1772,CHERRY RED ROASTERS
1.0,22.0,165.1428,Baconators
1.0,23.0,165.12,EAT MOR BUTT BBQ
1.0,24.0,164.5484,Jimmie James BBQ
1.0,25.0,164.5372,ALL IN QUE
1.0,26.0,163.9656,RIB RUNNERS
1.0,27.0,163.9428,FOWL BUTT BBQ
1.0,28.0,163.4172,ACME BBQ
1.0,29.0,163.4056,SWEET LIPS BBQ
1.0,30.0,162.8228,PIG PAK
1.0,31.0,162.3316,EXTRA MILE BBQ
1.0,32.0,162.2516,RISKY BRISKET
1.0,33.0,162.2512,FARMER'S RETREAT SMOKIN BARBEQUE
1.0,34.0,161.6916,THE PURPLE PIG
1.0,36.0,160.5372,ABLE ACRES BBQ
1.0,37.0,160.5372,BLUE CHIP BBQ
1.0,38.0,159.9656,BONEHEAD BBQ
1.0,39.0,159.9544,Hot Racks & BBQ Stacks
1.0,40.0,159.3828,WARREN COUNTY PORK CHOPPERS
1.0,41.0,158.8572,
1.0,42.0,157.7144,Hickory Flats BBQ
1.0,43.0,157.6572,VELVET SMOKE
1.0,44.0,157.6572,WOODPILE BBQ SHACK
1.0,45.0,157.0628,Bruno's BBQ
1.0,46.0,156.5256,82'S BBQ CREW
1.0,47.0,155.9656,ButtRubbers BBQ
1.0,48.0,155.4056,SMOKE SIEGE BARBECUE
1.0,49.0,155.3828,SQUEALERS AWARD WINNING BARBEQUE
1.0,50.0,154.2284,ROLLIN RIBS
1.0,51.0,153.6456,YELLOW RIVER BBQ
1.0,52.0,151.44,H-TOWN FAMILY QUE
1.0,53.0,146.9488,HARLEY'S HARDWOODZ BBQ
1.0,54.0,146.8344,SMOKEY RIVER BBQ
1.0,55.0,141.7144,DBL-D BARBEQUE.COM
1.0,56.0,138.8,The Dark Side of the Q
2.0,1.0,176.56,BURNIN BOBS BUTTS N BONES
2.0,2.0,172.5484,BACKDRAFT BBQ
2.0,3.0,172.0,SMOKE N THE ROCKIES
2.0,4.0,171.9772,CHIBI-Q
2.0,5.0,171.9656,FLYBOY BBQ
2.0,6.0,171.4172,STARS AND STRIPES BBQ
2.0,7.0,171.4056,3 Lil' Mac's BBQ
2.0,8.0,169.1316,SMOKIN HOT BUTTS BBQ
2.0,9.0,169.12,COOTERS COUNTRY CATERING
2.0,10.0,168.5372,Trihydro Corporation
2.0,11.0,167.3828,GQUE
2.0,12.0,165.12,PEACE PIT BBQ
2.0,13.0,164.5372,THE CELTIC PIG
2.0,14.0,163.9544,CARCASS COOKERS
2.0,15.0,162.8,LONESTAR SMOKE RANGERS
2.0,16.0,162.24,SMOKIN TIMBERS BBQ
2.0,17.0,161.7144,GETTIN' PIGGY WIT IT!
2.0,18.0,160.0344,Brisket Boys
2.0,19.0,159.9544,DENVER CAJUN BBQ KREWE
2.0,20.0,159.4056,WYOMING BS BBQ
2.0,21.0,159.36,JO-BAWB'S BBQ
2.0,22.0,157.6568,HIGH PLAINS SMOKERS
2.0,23.0,156.5828,Turfy's BBQ
2.0,24.0,155.9312,SWINE DOCTORS
2.0,25.0,155.92,MOE CASON BBQ
2.0,26.0,155.4056,Over the Fence and Woodshack BBQ
2.0,27.0,155.394,BRACKEN RACKS BBQ
2.0,28.0,154.8456,BBQ Knight
2.0,29.0,154.2972,BIRDMAN BBQ
