"date","day","month","year","text","nmonth","leagues","Course"
1492-08-03,"3","AUGUST","1492","Friday, August 3, 1492, at 8 o'clock we started from the bar of Saltes: we went with a strong sea-breeze 60 miles, which are 15 leagues, toward the south, until sunset: afterwards to the south-west and to the south, quarter south-west, which was the way to the Canaries.","08",NA,NA
1492-08-04,"4","AUGUST","1492","We went to the south-west, quarter south.","08",NA,NA
1492-08-05,"5","AUGUST","1492","We went on our way, more than 40 leagues between day and night.","08",NA,NA
1492-08-06,"6","AUGUST","1492","The helm of the caravel Pinta, upon which was Martin Alonso Pinzon, broke or became disjointed: this was believed and suspected to have been caused by ones Gomes Rascon and Cristo hal Quintero, who owned the caravel, because that voyage was displeasing to them. The Admiral says that before he left, they had discovered the aforesaid men concerned in certain plots and intrigues, as they say. The Admiral was greatly disturbed there, on account of not being able to aid the said caravel without endangering himself his own vessel and says that he became less anxious from knowing that Martin Alonso Pinzon was a brave and intelligent person: finally, between day and night they went 29 leagues.","08",NA,NA
1492-08-07,"7","AUGUST","1492","The helm of the Pinta again became disjointed and they repaired it and went in search of the island of Lanzarote, which is one of the Canary Islands, and they went 25 leagues between day and night.","08",NA,NA
1492-08-08,"8","AUGUST","1492","The pilots of the three caravels differed in opinions as to where they were, and the Admiral came nearest to the truth and wished to go to the Grand Canary to leave the caravel Pinta, as she was getting into bad condition on account of the helm and was leaking and he wished to obtain another caravel there, if one could be found. They could not make the Grand Canary that day.","08",NA,NA
1492-08-09,"9","AUGUST","1492","The Admiral was not able to reach Gomera until Sunday in the night, and Martin Alonso remained on that coast of the Grand Canary by order of the Admiral, because he was not able to navigate. Afterwards the Admiral reached Canaria (or Tenerife) and they repaired the Pinta very well, with much labour and great efforts on the part of the Admiral, Martin Alonso and the others: and finally they came to Gomera. They saw a great fire issue from the mountains of the island of Tenerife of which the greater part is very high. They made the sails of the Pinta round, as they were lateen sails. He returned to Gomera, Sunday, Sept 2, with the Pinta repaired. The Admiral says that many honourable Spaniards, inhabitants of the island of Hierro, swore that they were on Gomera with Dofia Inez Peraza, mother of Guillen Peraza, who was afterward the first Count of Gomera, and that each year they saw land to the west of the Canaries {which is to the west} and others from Gomera affirmed the same thing under oath. The Admiral says here that he remembers that being in Portugal in the year 1484, a man came from the island of Madeira to the King to beg him for a caravel in order to go to this land I which he saw, which he swore he saw each year and always in the same manner: and he also says he remembers that the same was said in the Azores Islands, and that all were agreed as to the route, the appearance and size. Having then taken water and wood and meat, and the other things which the men had, whom the Admiral left on Gomera when he went to the Island of Canaria to repair the caravel Pinta, he finally set sail from the said island of Gomera with his three caravels on Thursday, Sept 6.","08",NA,NA
1492-09-06,"6","SEPTEMBER","1492","He started on that day in the morning from the harbour of Gomera and took his course to go on his voyage: and the Admiral learned from a caravel which came from the island of Hierro, that three caravels from Portugal were sailing about there, in order to capture him: it must have been through the envy felt by the King of Portugal, because of the Admiral's going to Castile: and he sailed all that day and night in a calm and in the morning found himself between Gomera and Tenerife.","09",NA,NA
1492-09-07,"7","SEPTEMBER","1492","He was becalmed all Friday and Saturday until 3 o'clock at night.","09",NA,NA
1492-09-08,"8","SEPTEMBER","1492","On Saturday at 3 o'clock in the night, the north-east wind commenced to blow, and he took his course and route to the west he had a heavy head sea, which obstructed his way; and he sailed that day and night about 9 leagues.","09","9","W"
1492-09-09,"9","SEPTEMBER","1492","He went 19 leagues that day and resolved to reckon less than he had gone, so that if the voyage should be a long one, his people would not be frightened and discouraged. During the night he went 120 miles which are 30 leagues, at the rate of 10 miles an hour. The sailors steered badly, falling off to the north-east quarter and even half of the quarter {a la media partida} about which the Admiral many times reprimanded them.","09","45","W by N"
1492-09-10,"10","SEPTEMBER","1492","During that day and night he went 60 leagues, at the rate of 10 miles an hour, which are 2 1/2 leagues: but he computed only 48 leagues, in order not to frighten the people if the voyage should be lengthy.","09","60","assumed W"
