season,week_num,day_of_week,gametime_local,home_team,away_team,home_score,away_score,OT_flag,arrests,division_game
2011,1,Sunday,1:15:00 PM,Arizona,Carolina,28,21,,5,n
2011,4,Sunday,1:05:00 PM,Arizona,New York Giants,27,31,,6,n
2011,7,Sunday,1:05:00 PM,Arizona,Pittsburgh,20,32,,9,n
2011,9,Sunday,2:15:00 PM,Arizona,St. Louis,19,13,OT,6,y
2011,13,Sunday,2:15:00 PM,Arizona,Dallas,19,13,OT,3,n
2011,14,Sunday,2:05:00 PM,Arizona,San Francisco,21,19,,4,y
2011,15,Sunday,2:15:00 PM,Arizona,Cleveland,20,17,OT,1,n
2011,17,Sunday,2:15:00 PM,Arizona,Seattle,23,20,OT,4,y
2012,1,Sunday,1:25:00 PM,Arizona,Seattle,20,16,,0,y
2012,3,Sunday,1:05:00 PM,Arizona,Philadelphia,27,6,,12,n
2012,4,Sunday,1:05:00 PM,Arizona,Miami,24,21,OT,4,n
2012,6,Sunday,1:05:00 PM,Arizona,Buffalo,19,16,OT,1,n
2012,8,Monday,5:30:00 PM,Arizona,San Francisco,3,24,,3,y
2012,12,Sunday,2:25:00 PM,Arizona,St. Louis,17,31,,7,y
2012,15,Sunday,2:05:00 PM,Arizona,Detroit,38,10,,3,n
2012,16,Sunday,2:25:00 PM,Arizona,Chicago,13,28,,7,n
2013,2,Sunday,1:05:00 PM,Arizona,Detroit,25,21,,7,n
2013,5,Sunday,1:05:00 PM,Arizona,Carolina,22,6,,3,n
2013,7,Thursday,5:25:00 PM,Arizona,Seattle,22,34,,7,y
2013,8,Sunday,1:25:00 PM,Arizona,Atlanta,27,13,,2,n
2013,10,Sunday,2:25:00 PM,Arizona,Houston,27,24,,3,n
2013,12,Sunday,2:05:00 PM,Arizona,Indianapolis,40,11,,2,n
2013,14,Sunday,2:25:00 PM,Arizona,St. Louis,30,10,,4,y
2013,17,Sunday,2:25:00 PM,Arizona,San Francisco,20,23,,7,y
2014,1,Monday,7:20:00 PM,Arizona,San Diego,18,17,,4,n
2014,3,Sunday,1:05:00 PM,Arizona,San Francisco,23,14,,6,y
2014,6,Sunday,1:25:00 PM,Arizona,Washington,30,20,,4,n
2014,8,Sunday,1:05:00 PM,Arizona,Philadelphia,24,20,,2,n
2014,10,Sunday,2:25:00 PM,Arizona,St. Louis,31,14,,1,y
2014,11,Sunday,2:25:00 PM,Arizona,Detroit,14,6,,6,n
2014,14,Sunday,2:05:00 PM,Arizona,Kansas City,17,14,,2,n
2014,16,Sunday,6:30:00 PM,Arizona,Seattle,6,35,,4,y
2015,1,Sunday,1:05:00 PM,Arizona,New Orleans,31,19,,3,n
2015,3,Sunday,1:05:00 PM,Arizona,San Francisco,47,7,,10,y
2015,4,Sunday,1:25:00 PM,Arizona,St. Louis,22,24,,3,y
2015,7,Monday,5:30:00 PM,Arizona,Baltimore,26,18,,2,n
2015,11,Sunday,6:30:00 PM,Arizona,Cincinnati,34,31,,2,n
2015,14,Thursday,6:30:00 PM,Arizona,Minnesota,23,20,,0,n
2015,16,Sunday,2:25:00 PM,Arizona,Green Bay,38,8,,5,n
2015,17,Sunday,2:25:00 PM,Arizona,Seattle,6,36,,2,y
2011,1,Sunday,1:05:00 PM,Baltimore,Pittsburgh,35,7,,1,y
2011,4,Sunday,8:20:00 PM,Baltimore,New York Jets,34,17,,0,n
2011,6,Sunday,4:05:00 PM,Baltimore,Houston,29,14,,0,n
2011,8,Sunday,1:00:00 PM,Baltimore,Arizona,30,27,,0,n
2011,11,Sunday,1:00:00 PM,Baltimore,Cincinnati,31,24,,2,y
2011,12,Thursday,8:20:00 PM,Baltimore,San Francisco,16,6,,0,n
2011,14,Sunday,1:00:00 PM,Baltimore,Indianapolis,24,10,,0,n
2011,16,Sunday,1:00:00 PM,Baltimore,Cleveland,20,14,,0,y
2013,2,Sunday,1:00:00 PM,Baltimore,Cleveland,14,6,,3,y
2013,6,Sunday,1:00:00 PM,Baltimore,Green Bay,17,19,,1,n
2013,10,Sunday,1:00:00 PM,Baltimore,Cincinnati,20,17,OT,0,y
2013,12,Sunday,1:00:00 PM,Baltimore,New York Jets,19,3,,3,n
2013,13,Thursday,8:30:00 PM,Baltimore,Pittsburgh,22,20,,5,y
2013,14,Sunday,1:00:00 PM,Baltimore,Minnesota,29,26,,0,n
2013,16,Sunday,4:25:00 PM,Baltimore,New England,7,41,,8,n
2014,1,Sunday,1:00:00 PM,Baltimore,Cincinnati,16,23,,0,y
2014,2,Thursday,8:25:00 PM,Baltimore,Pittsburgh,26,6,,4,y
2014,4,Sunday,1:00:00 PM,Baltimore,Carolina,38,10,,5,n
2014,7,Sunday,1:00:00 PM,Baltimore,Atlanta,29,7,,0,n
2014,10,Sunday,1:00:00 PM,Baltimore,Tennessee,21,7,,0,n
2014,13,Sunday,1:00:00 PM,Baltimore,San Diego,33,34,,0,n
2014,15,Sunday,1:00:00 PM,Baltimore,Jacksonville,20,12,,1,n
