year,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,world_population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent
1945,160887585,391332035,98501171,36955033,13674466,701350290,856827,1426350,1929388,7796835,12009400,49050320,19436742,0,0,0,0,62273219,130760281,0,0,116237936,116237936,12710,5389197,20809,55228775,15495,120950,181,0,428660117,33210080,153486530,9856926,1636502751,1617000000,2250000000,0.1001,0.2434,0.0613,0.023,0.0085,0.4362,0.0005,0.0009,0.0012,0.0048,0.0075,0.0305,0.0121,0,0,0,0,0.0387,0.0813,0,0,0.0723,0.0723,0,0.0034,0,0.0343,0,0.0001,0,0,0.2666,0.0207,0.0955,0.0061,1.012061071,0.718666667
1950,133301043,401935856,106610911,38307544,16324768,696480122,2204231,1860297,2528641,7105125,13698294,56921304,20944082,0,0,387994,0,215867687,294121067,0,14031137,144980765,159011902,119462,301349500,5932557,65452839,638739,921828,1817254,2646410,431942094,88853880,192925316,12145951,2255911264,2231000000,2780296616,0.06,0.181,0.048,0.0173,0.0074,0.3136,0.001,0.0008,0.0011,0.0032,0.0062,0.0256,0.0094,0,0,0.0002,0,0.0972,0.1325,0,0.0063,0.0653,0.0716,0.0001,0.1357,0.0027,0.0295,0.0003,0.0004,0.0008,0.0012,0.1945,0.04,0.0869,0.0055,1.011165963,0.802432369
1955,189347338,474378130,111661338,38177572,22437724,836002102,2496432,1653007,2225241,6611524,12986204,78882540,24256503,0,0,445582,0,240487382,344072007,0,33522360,145861839,179384199,140762,328704605,6407617,68145114,761302,1182738,1620662,2956319,385702150,93710944,304128449,21379050,2565905174,2536000000,3039433944,0.0747,0.1871,0.044,0.0151,0.0088,0.3297,0.001,0.0007,0.0009,0.0026,0.0051,0.0311,0.0096,0,0,0.0002,0,0.0948,0.1357,0,0.0132,0.0575,0.0707,0.0001,0.1296,0.0025,0.0269,0.0003,0.0005,0.0006,0.0012,0.1521,0.037,0.1199,0.0084,1.011792261,0.834365887
1960,220293770,541957872,118268109,41846700,44601144,966967595,2818847,1716903,2300405,6892701,13728856,104325384,27174803,0,0,521848,0,303101053,435123088,0,16766250,183672909,200439159,170443,361169167,8088138,71357167,1278349,1357348,2031760,3593958,325016083,135768801,434629671,18904435,2960719583,2921000000,3345409879,0.0754,0.1856,0.0405,0.0143,0.0153,0.3311,0.001,0.0006,0.0008,0.0024,0.0047,0.0357,0.0093,0,0,0.0002,0,0.1038,0.149,0,0.0057,0.0629,0.0686,0.0001,0.1237,0.0028,0.0244,0.0004,0.0005,0.0007,0.0012,0.1113,0.0465,0.1488,0.0065,1.01359794,0.873136658
1965,234437703,614115021,125954494,45086639,55119929,1074713786,3295632,1760345,2348076,6849626,14253679,129192812,17097714,40000,0,598115,0,367705416,514634057,0,18305680,194287704,212593384,148944,397863182,8895685,74982591,1658891,1704647,2341748,4441376,358844822,160893706,474097850,41159669,3302068346,3280000000,3706601448,0.0715,0.1873,0.0384,0.0137,0.0168,0.3277,0.001,0.0005,0.0007,0.0021,0.0043,0.0394,0.0052,0,0,0.0002,0,0.1121,0.1569,0,0.0056,0.0592,0.0648,0,0.1213,0.0027,0.0229,0.0005,0.0005,0.0007,0.0014,0.1094,0.0491,0.1446,0.0126,1.006728154,0.884907656
1970,247932230,671006540,134595635,46079842,76991429,1176605676,3663721,1923986,2574798,6670904,14833409,151264004,36572141,374000,0,700450,0,403431693,592342288,0,20862636,207939998,228802634,107671,449824489,10686632,79156350,2294978,1981266,2628762,5286931,379156729,167009224,588838181,26258961,3699555220,3655000000,4086387665,0.0678,0.1836,0.0368,0.0126,0.0211,0.3219,0.001,0.0005,0.0007,0.0018,0.0041,0.0414,0.01,0.0001,0,0.0002,0,0.1104,0.162,0,0.0057,0.0569,0.0626,0,0.1231,0.0029,0.0217,0.0006,0.0005,0.0007,0.0014,0.1037,0.0457,0.1611,0.0072,1.012190211,0.894433005
1975,264857729,748325898,137192284,48153338,101587361,1300116609,3910099,2253657,2910930,6839862,15914548,238953304,44373213,420500,0,924465,2700,379000166,663674348,0,22929200,237395084,260324284,179084,488621807,12477870,85416548,2607053,2895296,2942380,5174923,372344153,168615279,690431832,26800685,4071736010,4023000000,4453863820,0.0658,0.186,0.0341,0.012,0.0253,0.3232,0.001,0.0006,0.0007,0.0017,0.004,0.0594,0.011,0.0001,0,0.0002,0,0.0942,0.165,0,0.0057,0.059,0.0647,0,0.1215,0.0031,0.0212,0.0006,0.0007,0.0007,0.0013,0.0926,0.0419,0.1716,0.0067,1.012114345,0.903260666
1980,278962191,798834729,137902427,51093360,125285902,1392078609,4300992,2439116,3153787,6713100,16606995,277804364,50827912,668250,0,1148480,1584485,315105986,647139477,0,30400850,268001266,298402116,192461,537594394,14276856,89429228,3205049,3875752,3258083,5470087,398417206,165629178,737801266,35031049,4313376757,4413000000,4850224998,0.0654,0.1873,0.0323,0.012,0.0294,0.3264,0.001,0.0006,0.0007,0.0016,0.0039,0.0651,0.0119,0.0002,0,0.0003,0.0004,0.0739,0.1517,0,0.0071,0.0628,0.07,0,0.126,0.0033,0.021,0.0008,0.0009,0.0008,0.0013,0.0934,0.0388,0.173,0.0082,0.977425053,0.909854698
1985,305061321,865316946,141435053,56651880,138453851,1506919051,4580474,2466942,3320124,6415455,16782995,317788564,62653376,899500,0,1202490,0,364584661,747128591,0,36232325,301438364,337670689,263891,601622535,14921905,92520741,3180424,4627936,3567900,1169027,435629032,166066939,788196309,36373149,4720267965,4834000000,5277725410,0.0653,0.1853,0.0303,0.0121,0.0297,0.3227,0.001,0.0005,0.0007,0.0014,0.0036,0.0681,0.0134,0.0002,0,0.0003,0,0.0781,0.16,0,0.0078,0.0646,0.0723,0.0001,0.1289,0.0032,0.0198,0.0007,0.001,0.0008,0.0003,0.0933,0.0356,0.1688,0.0078,0.976472479,0.915924878
1990,391772588,928527756,147970918,63954053,162855904,1695081219,4395315,1926083,2458253,6089896,14869547,516397560,78407673,1095087,0,9123315,0,394656683,999680318,0,39303150,335944605,375247755,878401,659849828,19201480,94607820,5064983,5884833,3884764,1300279,469199898,182182331,838271280,36282109,5365204736,5313000000,5687011326,0.0737,0.1748,0.0279,0.012,0.0307,0.3191,0.0008,0.0004,0.0005,0.0011,0.0028,0.0972,0.0148,0.0002,0,0.0017,0,0.0743,0.1882,0,0.0074,0.0632,0.0706,0.0002,0.1242,0.0036,0.0178,0.001,0.0011,0.0007,0.0002,0.0883,0.0343,0.1578,0.0068,1.009825849,0.934234116
