year,region,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,world_population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,worldpopulation_percent
1945,Africa,2074180,672337,7251492,419457,4170594,14588060,0,0,0,80487,80487,0,0,0,0,0,0,5051475,5051475,0,0,53,53,0,137290,1536,0,2021,0,0,0,831,9162018,7396,41833,29065604,29073000,1617000000,0.0713,0.0231,0.2494,0.0144,0.1435,0.5018,0,0,0,0.0028,0.0028,0,0,0,0,0,0,0.1738,0.1738,0,0,0,0,0,0.0047,0.0001,0,0.0001,0,0,0,0,0.3151,0.0003,0.0014,0.9997,1,0.018
1945,Asia,2407144,2222908,181928,3142204,1964907,9919091,0,0,0,30369,30369,7451998,940000,0,0,0,0,27868347,36260345,0,0,113681431,113681431,2710,5230216,12525,55228775,7243,120950,0,0,423153390,22525760,30637661,152491,666325296,663450000,1617000000,0.0036,0.0034,0.0003,0.0047,0.003,0.015,0,0,0,0,0,0.0112,0.0014,0,0,0,0,0.042,0.0547,0,0,0.1713,0.1713,0,0.0079,0,0.0832,0,0.0002,0,0,0.6378,0.034,0.0462,0.0002,1.0043,1.0505,0.4103
1945,Europe,83145512,216041422,86503645,29855595,5361826,420908000,0,0,0,6068020,6068020,0,0,0,0,0,0,29353397,29353397,0,0,725632,725632,0,21691,1748,0,6231,0,181,0,5896,1294177,99829250,2535777,460920750,560750000,1617000000,0.1483,0.3853,0.1543,0.0532,0.0096,0.7506,0,0,0,0.0108,0.0108,0,0,0,0,0,0,0.0523,0.0523,0,0,0.0013,0.0013,0,0,0,0,0,0,0,0,0,0.0023,0.178,0.0045,0.822,1,0.3468
1945,Mideast,87174,635929,3180260,0,108332,4011695,0,0,0,623240,623240,41598322,18496742,0,0,0,0,0,60095064,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,561,478440,65218439,65219000,1617000000,0.0013,0.0098,0.0488,0,0.0017,0.0615,0,0,0,0.0096,0.0096,0.6378,0.2836,0,0,0,0,0,0.9214,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0073,1,1,0.0403
1945,West. Hem,73173575,171759439,1383846,3537777,2068807,251923444,856827,1426350,1929388,994719,5207284,0,0,0,0,0,0,0,0,0,0,1830820,1830820,0,0,5000,0,0,0,0,0,5500000,228125,23011662,6648385,271343058,289375655,1617000000,0.2529,0.5936,0.0048,0.0122,0.0071,0.8706,0.003,0.0049,0.0067,0.0034,0.018,0,0,0,0,0,0,0,0,0,0,0.0063,0.0063,0,0,0,0,0,0,0,0,0.019,0.0008,0.0795,0.023,0.9377,1.0172,0.179
1950,Africa,3302860,736193,7260770,609769,4884121,16793713,0,0,0,97006,97006,0,0,0,0,0,0,5508523,5508523,0,0,194,194,0,195524,1943,0,3004,0,0,0,973,11084152,19918,2050,33687082,33707000,2231000000,0.098,0.0218,0.2154,0.0181,0.1449,0.4982,0,0,0,0.0029,0.0029,0,0,0,0,0,0,0.1634,0.1634,0,0,0,0,0,0.0058,0.0001,0,0.0001,0,0,0,0,0.3288,0.0006,0.0001,0.9994,1,0.0151
1950,Asia,9360004,25948053,1051829,3612715,5190796,45163397,0,0,0,54754,54754,7987175,923000,0,0,0,0,180211586,189121761,0,14031137,144032385,158063522,114462,301106975,5910591,65452839,453734,921828,1816754,2646410,425681485,76081638,69193934,499371,1273089521,1300208016,2231000000,0.0072,0.02,0.0008,0.0028,0.004,0.0347,0,0,0,0,0,0.0061,0.0007,0,0,0,0,0.1386,0.1455,0,0.0108,0.1108,0.1216,0.0001,0.2316,0.0045,0.0503,0.0003,0.0007,0.0014,0.002,0.3274,0.0585,0.0532,0.0004,0.9791,1.0324,0.5828
1950,Europe,40293475,182146023,91004796,29739026,4534844,347718164,0,0,0,5336066,5336066,0,0,0,0,0,0,30109208,30109208,0,0,759624,759624,0,44995,10022,0,8041,0,500,0,9763,1238087,100773236,512294,385746764,486520000,2231000000,0.0828,0.3744,0.1871,0.0611,0.0093,0.7147,0,0,0,0.011,0.011,0,0,0,0,0,0,0.0619,0.0619,0,0,0.0016,0.0016,0,0.0001,0,0,0,0,0,0,0,0.0025,0.2071,0.0011,0.7929,1,0.2181
1950,Mideast,27091,946089,4047536,0,93138,5113854,1090162,6607,4404,529038,1630211,48934129,20021082,0,0,387994,0,17600,69360805,0,0,0,0,5000,0,0,0,172960,0,0,0,0,0,0,1400170,77683000,77683000,2231000000,0.0003,0.0122,0.0521,0,0.0012,0.0658,0.014,0.0001,0.0001,0.0068,0.021,0.6299,0.2577,0,0,0.005,0,0.0002,0.8929,0,0,0,0,0.0001,0,0,0,0.0022,0,0,0,0,0,0,0.018,1,1,0.0348
1950,West. Hem,80317613,192159498,3245980,4346034,1621869,281690994,1114069,1853690,2524237,1088261,6580257,0,0,0,0,0,0,20770,20770,0,0,188562,188562,0,2006,10001,0,1000,0,0,0,6249873,450003,22938228,9732066,304925532,322455008,2231000000,0.2491,0.5959,0.0101,0.0135,0.005,0.8736,0.0035,0.0057,0.0078,0.0034,0.0204,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0.0194,0.0014,0.0711,0.0302,0.9456,1.0168,0.1445
1955,Africa,4014921,802667,7272036,753661,6094033,18937318,0,0,0,117741,117741,0,0,0,0,0,0,6002686,6002686,0,0,707,707,0,278538,2457,0,7593,0,0,0,1139,9419390,53634,103797,34871366,34925000,2536000000,0.115,0.023,0.2082,0.0216,0.1745,0.5422,0,0,0,0.0034,0.0034,0,0,0,0,0,0,0.1719,0.1719,0,0,0,0,0,0.008,0.0001,0,0.0002,0,0,0,0,0.2697,0.0015,0.003,0.9985,1,0.0138
1955,Asia,12638476,34806115,1254956,3824355,6443511,58967413,0,0,0,81070,81070,8658503,1000000,0,0,0,0,201064244,210722747,0,33522360,144441261,177963621,126582,328331380,6342714,68145114,738141,1182738,1619287,2785120,378770746,82851650,161895190,1402045,1320030368,1436233000,2536000000,0.0088,0.0242,0.0009,0.0027,0.0045,0.0411,0,0,0,0.0001,0.0001,0.006,0.0007,0,0,0,0,0.14,0.1467,0,0.0233,0.1006,0.1239,0.0001,0.2286,0.0044,0.0474,0.0005,0.0008,0.0011,0.0019,0.2637,0.0577,0.1127,0.001,0.9191,1.0318,0.5663
1955,Europe,85570895,223576835,96120344,29306649,6597713,441172436,0,0,0,5178671,5178671,0,0,0,0,0,0,33390170,33390170,0,0,806776,806776,0,93684,57446,0,15068,0,1375,0,26391,1189903,118537427,3246653,485178573,603716000,2536000000,0.1417,0.3703,0.1592,0.0485,0.0109,0.7308,0,0,0,0.0086,0.0086,0,0,0,0,0,0,0.0553,0.0553,0,0,0.0013,0.0013,0,0.0002,0.0001,0,0,0,0,0,0,0.002,0.1963,0.0054,0.8037,1,0.2381
