contest_key,date,title,location_str,city,state,state_full,prize,cbj_percentage,is_championship,is_standard,url
1,2013-07-19,"Wine, Brew  & Bar-B-Que Too!","New Palestine, IN",New Palestine,IN,Indiana,10000.0,,True,False,http://www.kcbs.us/event/4163/wine-brew-bar-b-que-too
2,2013-07-19,Griller's Cup,"Laramie, WY",Laramie,WY,Wyoming,7000.0,100.0,True,False,http://www.kcbs.us/event/3926/grillers-cup
3,2013-07-19,Smoke on the Mountain - VA State BBQ Championship,"Galax, VA",Galax,VA,Virginia,4100.0,100.0,True,True,http://www.kcbs.us/event/4367/smoke-on-the-mountain---va-state-bbq-championship
4,2013-07-19,"Blues, BBQ & Bargains","Hays, KS",Hays,KS,Kansas,7500.0,74.0,True,False,http://www.kcbs.us/event/3860/blues-bbq-bargains
5,2013-07-19,BBQ'Loo & Blues Too!,"Waterloo, IA",Waterloo,IA,Iowa,10000.0,100.0,True,True,http://www.kcbs.us/event/4044/bbqloo-blues-too
6,2013-07-19,Cookin' on Kampeska: Wing Fling & BBQ Thing,"Watertown, SD",Watertown,SD,South Dakota,8175.0,100.0,True,True,http://www.kcbs.us/event/4054/cookin-on-kampeska-wing-fling-bbq-thing
7,2013-07-19,Taste of Grand Rapids,"Comstock Park, MI",Comstock Park,MI,Michigan,6350.0,100.0,True,False,http://www.kcbs.us/event/4309/taste-of-grand-rapids
8,2013-07-19,RiverFest Red White and Que,"Bellevue, NE",Bellevue,NE,Nebraska,7000.0,95.0,True,True,http://www.kcbs.us/event/4303/riverfest-red-white-and-que
9,2013-07-19,9th Annual WildBlue BBQ,"Burlington, KS",Burlington,KS,Kansas,7130.0,94.0,True,False,http://www.kcbs.us/event/4062/9th-annual-wildblue-bbq
10,2013-07-19,Warren All American BBQ Festival,"Warren, PA",Warren,PA,Pennsylvania,3000.0,100.0,True,True,http://www.kcbs.us/event/3889/warren-all-american-bbq-festival
